malleable_count,strategic_count,balanced_count,confident_count,static_count,winner_type,final_price,round_count,winner_valuation,efficiency
0,1,8,5,6,static/inflex,1140,32,1226.267064849081,140
0,1,8,6,5,static/inflex,1120,31,1162.0921161467793,120
0,1,8,7,4,static/inflex,1100,30,1197.1182347680644,100
0,1,8,8,3,static/inflex,1180,34,1371.1909113907218,180
0,1,8,9,2,confident,1100,30,1124.0244506729832,100
0,1,8,10,1,balanced,1100,30,1131.8020985377507,100
0,1,8,11,0,confident,1200,35,1332.642509508972,200
0,1,9,0,10,static/inflex,1160,33,1322.8611712909928,160
0,1,9,1,9,static/inflex,1260,38,1291.8814724894387,260
0,1,9,2,8,static/inflex,1240,37,1249.5251693114037,240
0,1,9,3,7,strategic/respon,1100,30,1110.8140741350028,100
0,1,9,4,6,balanced,1060,28,1050.16774331281,60
0,1,9,5,5,static/inflex,1180,34,1170.4975913384499,180
0,1,9,6,4,static/inflex,1100,30,1213.126663110063,100
0,1,9,7,3,static/inflex,1160,33,1295.631353673757,160
0,1,9,8,2,confident,1060,28,1133.5686972483272,60
0,1,9,9,1,confident,1060,28,1166.4614788380536,60
0,1,9,10,0,balanced,1080,29,1100.370954510205,80
0,1,10,0,9,static/inflex,1120,31,1175.2567871451135,120
0,1,10,1,8,static/inflex,1100,30,1181.0891312967178,100
0,1,10,2,7,static/inflex,1180,34,1277.8625841126127,180
0,1,10,3,6,confident,1120,31,1256.6207737646164,120
0,1,10,4,5,balanced,1060,28,1063.7524499123306,60
0,1,10,5,4,confident,1260,38,1263.4754635629208,260
0,1,10,6,3,confident,1160,33,1248.9024347956965,160
0,1,10,7,2,confident,1100,30,1108.8737297786993,100
0,1,10,8,1,static/inflex,1240,37,1239.1925938686832,240
0,1,10,9,0,confident,1060,28,1126.2405250595311,60
0,1,11,0,8,static/inflex,1160,33,1304.5651118058217,160
0,1,11,1,7,static/inflex,1140,32,1186.4843743112779,140
0,1,11,2,6,static/inflex,1180,34,1187.6289560738066,180
0,1,11,3,5,static/inflex,1280,39,1293.1013451038964,280
0,1,11,4,4,static/inflex,1220,36,1260.8152544868144,220
0,1,11,5,3,static/inflex,1120,31,1225.3655582027727,120
0,1,11,6,2,confident,1240,37,1233.8964180662306,240
0,1,11,7,1,confident,1080,29,1105.7759777881326,80
0,1,11,8,0,balanced,1060,28,1141.1507291604553,60
0,1,12,0,7,static/inflex,1280,39,1301.6726912672625,280
0,1,12,1,6,static/inflex,1120,31,1109.9654908291852,120
0,1,12,2,5,static/inflex,1100,30,1208.9783307254822,100
0,1,12,3,4,balanced,1060,28,1057.71970066147,60
0,1,12,4,3,confident,1100,30,1142.1753218262038,100
0,1,12,5,2,static/inflex,1100,30,1156.5762346520644,100
0,1,12,6,1,balanced,1120,31,1126.2652993126655,120
0,1,12,7,0,confident,1100,30,1252.94080820583,100
0,1,13,0,6,static/inflex,1120,31,1244.5920656243889,120
0,1,13,1,5,static/inflex,1000,25,1121.3256729830362,0
0,1,13,2,4,static/inflex,1120,31,1109.957601856158,120
0,1,13,3,3,confident,1080,29,1288.2419181260414,80
0,1,13,4,2,static/inflex,1180,34,1252.7644760262913,180
0,1,13,5,1,balanced,1120,31,1134.9471908935566,120
0,1,13,6,0,balanced,1160,33,1158.8121483530297,160
0,1,14,0,5,static/inflex,1160,33,1177.19101206921,160
0,1,14,1,4,static/inflex,1160,33,1281.3801682312494,160
0,1,14,2,3,balanced,1080,29,1090.453584265631,80
0,1,14,3,2,static/inflex,1080,29,1253.1169111179581,80
0,1,14,4,1,confident,1080,29,1144.5023249397827,80
0,1,14,5,0,confident,1060,28,1258.7419252156847,60
0,1,15,0,4,balanced,1080,29,1121.9046039696643,80
0,1,15,1,3,static/inflex,1120,31,1136.418750094566,120
0,1,15,2,2,static/inflex,1060,28,1402.4657182914602,60
0,1,15,3,1,static/inflex,1120,31,1181.6309579477065,120
0,1,15,4,0,balanced,1140,32,1207.6409829804534,140
0,1,16,0,3,balanced,1080,29,1100.1425603176624,80
0,1,16,1,2,balanced,1140,32,1155.3300012647105,140
0,1,16,2,1,static/inflex,1120,31,1215.4224994499352,120
0,1,16,3,0,balanced,1060,28,1124.6489700967154,60
0,1,17,0,2,balanced,1080,29,1097.387691963357,80
0,1,17,1,1,static/inflex,1140,32,1170.5983619246172,140
0,1,17,2,0,balanced,1080,29,1082.0171895215185,80
0,1,18,0,1,balanced,1060,28,1097.6251881441076,60
0,1,18,1,0,balanced,1100,30,1107.707276253818,100
0,1,19,0,0,balanced,1060,28,1051.270451313102,60
0,2,0,0,18,static/inflex,1100,30,1115.0639408947777,100
0,2,0,1,17,static/inflex,1200,35,1268.2197126829674,200
0,2,0,2,16,static/inflex,1300,40,1336.2598605791502,300
0,2,0,3,15,static/inflex,1200,35,1241.6238937110907,200
0,2,0,4,14,static/inflex,1100,30,1124.1995484298538,100
0,2,0,5,13,static/inflex,1340,42,1375.5556401565511,340
